"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"48","https://toiletmap.gov.au/facility/48","Cowley Beach","Beach","Barakaoan Road","Cowley Beach","QLD","","-17.69539499","146.11187069","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"49","https://toiletmap.gov.au/facility/49","Digger Creek","Park or reserve","Bruce Highway","El Arish","QLD","","-17.79569638","146.01076283","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"50","https://toiletmap.gov.au/facility/50","Returned Services League Club","Other","Royston Street","El Arish","QLD","","-17.80691645","146.00447980","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"51","https://toiletmap.gov.au/facility/51","Village Green","Park or reserve","Central Avenue","Mission Beach","QLD","","-17.86919840","146.10673700","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"52","https://toiletmap.gov.au/facility/52","Stinger Net","Car park","Seaview Street","Mission Beach","QLD","","-17.87117800","146.10661880","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"56","https://toiletmap.gov.au/facility/56","Cutten Street","Other","Cutten Street","Bingil Bay","QLD","","-17.83093616","146.09949800","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"57","https://toiletmap.gov.au/facility/57","Camp Area","Camping ground","Bingil Bay Road","Bingil Bay","QLD","","-17.82990204","146.09979340","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"58","https://toiletmap.gov.au/facility/58","Marc Park","Park or reserve","Tully - Mission Beach Road","Mission Beach","QLD","","-17.87259629","146.09225950","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"60","https://toiletmap.gov.au/facility/60","Mourilyan Harbour","Other","Off Johnstone Street","Mourilyan Harbour","QLD","","-17.59892284","146.12556840","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"61","https://toiletmap.gov.au/facility/61","Innisfail Cemetery","Cemetery","Clare Street","Mighell","QLD","","-17.53188869","146.02755358","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
